source,external_id,source_url,captured_at,review_date,rating,title,body
opinion-assurances,OA-101,https://www.opinion-assurances.fr/,2026-01-20T09:00:00,2026-01-18,1,Toujours un document de plus,"J'envoie une facture, on me reclame un RIB, puis une ordonnance, puis encore autre chose. Sans fin."
opinion-assurances,OA-102,https://www.opinion-assurances.fr/,2026-01-20T09:00:00,2026-01-15,2,Refus jamais notifie,"Remboursement refuse sans aucune notification, decouvert dans l'appli par hasard."
opinion-assurances,OA-103,https://www.opinion-assurances.fr/,2026-01-20T09:00:00,2026-01-10,1,Complementaire ingerable,"En complementaire ils n'arrivent jamais a lire le decompte de la Secu, rejet automatique."
opinion-assurances,OA-104,https://www.opinion-assurances.fr/,2026-01-20T09:00:00,2026-01-12,2,Aucun interlocuteur,"Le chat repond a cote, pas de telephone, seulement un rappel qui n'arrive jamais."
opinion-assurances,OA-105,https://www.opinion-assurances.fr/,2026-01-20T09:00:00,2026-01-09,2,"Plus cher, moins couvert","Cotisation en hausse et garanties en baisse, on nous pousse vers leur boutique."
opinion-assurances,OA-106,https://www.opinion-assurances.fr/,2026-01-20T09:00:00,2026-01-08,5,Rapide et simple,"Dossier rembourse en deux jours, rien a redire."
opinion-assurances,OA-107,https://www.opinion-assurances.fr/,2026-01-20T09:00:00,2026-01-05,3,Correct sans plus,"Application correcte, quelques bugs au login."
opinion-assurances,OA-201,https://www.opinion-assurances.fr/,2026-02-10T09:00:00,2026-02-08,2,Dossier bloque,"Ma demande est en attente depuis des semaines, aucune avancee."
opinion-assurances,OA-201,https://www.opinion-assurances.fr/,2026-03-15T09:00:00,2026-03-14,1,"Toujours bloque, edite","Mise a jour: toujours rien apres un mois, on redemande les memes papiers."
opinion-assurances,OA-108,https://www.opinion-assurances.fr/,2026-02-11T09:00:00,2026-02-09,1,Trois pieces pour 40 euros,Troisieme piece demandee pour un remboursement de quarante euros.
